model,game,level,run_id,game_level,total_steps,meaningful_steps,meaningful_ratio,total_distance,avg_distance_per_step,winner,total_reward,reward_steps,max_reward,final_reward,won,normalized_reward
gemini,sokoban,3,3,sokoban-lvl3,1998,441,0.22072072072072071,676,0.3383383383383383,NO_WINNER,0.0,0,0.0,0.0,False,0.0
gemini,sokoban,3,1,sokoban-lvl3,1998,595,0.2977977977977978,786,0.3933933933933934,NO_WINNER,1.0,1,1.0,0.0,False,0.4999999975
gemini,escape,0,5,escape-lvl0,38,23,0.6052631578947368,24,0.631578947368421,PLAYER_WINS,0.0,0,0.0,0.0,True,0.0
gemini,escape,0,2,escape-lvl0,15,7,0.4666666666666667,7,0.4666666666666667,PLAYER_LOSES,0.0,0,0.0,0.0,False,0.0
gemini,escape,0,4,escape-lvl0,31,19,0.6129032258064516,20,0.6451612903225806,PLAYER_WINS,0.0,0,0.0,0.0,True,0.0
gemini,escape,0,3,escape-lvl0,4,4,1.0,3,0.75,PLAYER_LOSES,0.0,0,0.0,0.0,False,0.0
gemini,escape,0,1,escape-lvl0,37,18,0.4864864864864865,20,0.5405405405405406,PLAYER_WINS,0.0,0,0.0,0.0,True,0.0
gemini,sokoban,4,5,sokoban-lvl4,1998,283,0.14164164164164164,511,0.25575575575575576,NO_WINNER,1.0,1,1.0,0.0,False,0.0
gemini,sokoban,4,2,sokoban-lvl4,1998,542,0.27127127127127126,1410,0.7057057057057057,NO_WINNER,1.0,1,1.0,0.0,False,0.0
gemini,sokoban,4,4,sokoban-lvl4,1998,613,0.30680680680680683,1500,0.7507507507507507,NO_WINNER,1.0,1,1.0,0.0,False,0.0
gemini,sokoban,4,3,sokoban-lvl4,1998,565,0.2827827827827828,1420,0.7107107107107107,NO_WINNER,1.0,1,1.0,0.0,False,0.0
gemini,sokoban,4,1,sokoban-lvl4,1998,625,0.3128128128128128,1134,0.5675675675675675,NO_WINNER,1.0,1,1.0,0.0,False,0.0
gemini,realsokoban,1,5,realsokoban-lvl1,1998,650,0.3253253253253253,1107,0.5540540540540541,NO_WINNER,0.0,0,0.0,0.0,False,0.0
gemini,realsokoban,1,2,realsokoban-lvl1,1998,665,0.3328328328328328,1039,0.52002002002002,NO_WINNER,0.0,0,0.0,0.0,False,0.0
